given_name,sex,birth_era,weight
Robert,M,1945,1.00000000
John,M,1945,0.53588673
James,M,1945,0.37204106
William,M,1945,0.28717459
Richard,M,1945,0.23492379
Charles,M,1945,0.19937187
Ronald,M,1945,0.17354486
Donald,M,1945,0.15389305
Joseph,M,1945,0.13841455
Thomas,M,1945,0.12589254
Gerald,M,1945,0.11554378
Larry,M,1945,0.10684074
Michael,M,1955,1.00000000
David,M,1955,0.53588673
Gary,M,1955,0.37204106
Steven,M,1955,0.28717459
Mark,M,1955,0.23492379
Dennis,M,1955,0.19937187
Kenneth,M,1955,0.17354486
Bruce,M,1955,0.15389305
Danny,M,1955,0.13841455
Roger,M,1955,0.12589254
Wayne,M,1955,0.11554378
Glenn,M,1955,0.10684074
John,M,1965,1.00000000
Brian,M,1965,0.53588673
Kevin,M,1965,0.37204106
Jeffrey,M,1965,0.28717459
Timothy,M,1965,0.23492379
Gregory,M,1965,0.19937187
Scott,M,1965,0.17354486
Todd,M,1965,0.15389305
Craig,M,1965,0.13841455
Keith,M,1965,0.12589254
Randy,M,1965,0.11554378
Dale,M,1965,0.10684074
Christopher,M,1975,1.00000000
Jason,M,1975,0.53588673
Matthew,M,1975,0.37204106
Eric,M,1975,0.28717459
Sean,M,1975,0.23492379
Chad,M,1975,0.19937187
Shawn,M,1975,0.17354486
Troy,M,1975,0.15389305
Derek,M,1975,0.13841455
Travis,M,1975,0.12589254
Corey,M,1975,0.11554378
Brent,M,1975,0.10684074
Joshua,M,1985,1.00000000
Andrew,M,1985,0.53588673
Justin,M,1985,0.37204106
Ryan,M,1985,0.28717459
Brandon,M,1985,0.23492379
Nicholas,M,1985,0.19937187
Adam,M,1985,0.17354486
Aaron,M,1985,0.15389305
Nathan,M,1985,0.13841455
Jeremy,M,1985,0.12589254
Cory,M,1985,0.11554378
Dustin,M,1985,0.10684074
Tyler,M,1995,1.00000000
Zachary,M,1995,0.53588673
Austin,M,1995,0.37204106
Dylan,M,1995,0.28717459
Cody,M,1995,0.23492379
Jordan,M,1995,0.19937187
Kyle,M,1995,0.17354486
Alex,M,1995,0.15389305
Hunter,M,1995,0.13841455
Caleb,M,1995,0.12589254
Ethan,M,1995,0.11554378
Trevor,M,1995,0.10684074
Mary,F,1945,1.00000000
Patricia,F,1945,0.53588673
Barbara,F,1945,0.37204106
Linda,F,1945,0.28717459
Carol,F,1945,0.23492379
Nancy,F,1945,0.19937187
Sandra,F,1945,0.17354486
Sharon,F,1945,0.15389305
Judith,F,1945,0.13841455
Betty,F,1945,0.12589254
Shirley,F,1945,0.11554378
Joyce,F,1945,0.10684074
Deborah,F,1955,1.00000000
Susan,F,1955,0.53588673
Karen,F,1955,0.37204106
Donna,F,1955,0.28717459
Cynthia,F,1955,0.23492379
Diane,F,1955,0.19937187
Janet,F,1955,0.17354486
Kathleen,F,1955,0.15389305
Brenda,F,1955,0.13841455
Pamela,F,1955,0.12589254
Debra,F,1955,0.11554378
Cheryl,F,1955,0.10684074
Lisa,F,1965,1.00000000
Michelle,F,1965,0.53588673
Kimberly,F,1965,0.37204106
Laura,F,1965,0.28717459
Theresa,F,1965,0.23492379
Julie,F,1965,0.19937187
Denise,F,1965,0.17354486
Tammy,F,1965,0.15389305
Lori,F,1965,0.13841455
Dawn,F,1965,0.12589254
Tracy,F,1965,0.11554378
Rhonda,F,1965,0.10684074
Jennifer,F,1975,1.00000000
Amy,F,1975,0.53588673
Melissa,F,1975,0.37204106
Heather,F,1975,0.28717459
Angela,F,1975,0.23492379
Stephanie,F,1975,0.19937187
Christina,F,1975,0.17354486
Nicole,F,1975,0.15389305
Rebecca,F,1975,0.13841455
Kelly,F,1975,0.12589254
Erin,F,1975,0.11554378
Shannon,F,1975,0.10684074
Ashley,F,1985,1.00000000
Jessica,F,1985,0.53588673
Amanda,F,1985,0.37204106
Sarah,F,1985,0.28717459
Brittany,F,1985,0.23492379
Megan,F,1985,0.19937187
Lauren,F,1985,0.17354486
Danielle,F,1985,0.15389305
Katherine,F,1985,0.13841455
Rachel,F,1985,0.12589254
Courtney,F,1985,0.11554378
Tiffany,F,1985,0.10684074
Emily,F,1995,1.00000000
Hannah,F,1995,0.53588673
Alexis,F,1995,0.37204106
Samantha,F,1995,0.28717459
Taylor,F,1995,0.23492379
Madison,F,1995,0.19937187
Kayla,F,1995,0.17354486
Victoria,F,1995,0.15389305
Olivia,F,1995,0.13841455
Alyssa,F,1995,0.12589254
Jasmine,F,1995,0.11554378
Destiny,F,1995,0.10684074
