canonical,nickname
Alexander,Alex
Andrew,Andy
Andrew,Drew
Angela,Angie
Anthony,Tony
Barbara,Babs
Barbara,Barb
Benjamin,Ben
Charles,Charlie
Charles,Chuck
Christina,Chris
Christina,Tina
Christopher,Chris
Christopher,Topher
Cynthia,Cindy
Daniel,Dan
Daniel,Danny
Danielle,Dani
David,Dave
Deborah,Deb
Deborah,Debbie
Donald,Don
Dorothy,Dot
Edward,Ed
Edward,Ted
Eleanor,Ellie
Elizabeth,Beth
Elizabeth,Betty
Elizabeth,Eliza
Elizabeth,Liz
Frederick,Fred
Gregory,Greg
James,Jamie
James,Jim
James,Jimmy
Jeffrey,Jeff
Jennifer,Jen
Jennifer,Jenny
John,Jack
John,Johnny
Joseph,Joe
Joseph,Joey
Josephine,Josie
Katherine,Kate
Katherine,Kathy
Katherine,Katie
Kenneth,Ken
Kimberly,Kim
Lawrence,Larry
Margaret,Maggie
Margaret,Marge
Margaret,Meg
Margaret,Peggy
Matthew,Matt
Michael,Mickey
Michael,Mike
Michelle,Shelly
Nathaniel,Nate
Nicholas,Nick
Pamela,Pam
Patricia,Pat
Patricia,Patty
Patricia,Trish
Rebecca,Becca
Rebecca,Becky
Richard,Dick
Richard,Rich
Richard,Richie
Richard,Rick
Robert,Bert
Robert,Bob
Robert,Bobby
Robert,Rob
Ronald,Ron
Samantha,Sam
Samuel,Sam
Sandra,Sandy
Stephanie,Steph
Stephen,Steve
Steven,Steve
Susan,Sue
Susan,Susie
Theresa,Terry
Thomas,Tom
Thomas,Tommy
Timothy,Tim
Veronica,Ronnie
Victoria,Vicky
Virginia,Ginny
William,Bill
William,Billy
William,Will
William,Willie
Zachary,Zach
