surname,weight
Smith,1.00000000
Johnson,0.47631900
Williams,0.30865993
Brown,0.22687979
Jones,0.17869076
Garcia,0.14702059
Miller,0.12466516
Davis,0.10806715
Rodriguez,0.09527095
Martinez,0.08511380
Hernandez,0.07686167
Lopez,0.07002870
Gonzalez,0.06428070
Wilson,0.05938038
Anderson,0.05515468
Thomas,0.05147444
Taylor,0.04824137
Moore,0.04537937
Jackson,0.04282858
Martin,0.04054132
Lee,0.03847914
Perez,0.03661067
Thompson,0.03491011
White,0.03335600
Harris,0.03193039
Sanchez,0.03061812
Clark,0.02940633
Ramirez,0.02828401
Lewis,0.02724170
Robinson,0.02627122
Walker,0.02536547
Young,0.02451825
Allen,0.02372412
King,0.02297828
Wright,0.02227651
Scott,0.02161505
Torres,0.02099057
Nguyen,0.02040007
Hill,0.01984088
Flores,0.01931060
Green,0.01880708
Adams,0.01832835
Nelson,0.01787264
Baker,0.01743836
Hall,0.01702404
Rivera,0.01662835
Campbell,0.01625007
Mitchell,0.01588810
Carter,0.01554140
Roberts,0.01520905
Gomez,0.01489018
Phillips,0.01458399
Evans,0.01428976
Turner,0.01400679
Diaz,0.01373447
Parker,0.01347221
Cruz,0.01321947
Edwards,0.01297574
Collins,0.01274056
Reyes,0.01251348
Stewart,0.01229411
Morris,0.01208206
Morales,0.01187697
Murphy,0.01167851
Cook,0.01148637
Rogers,0.01130025
Gutierrez,0.01111988
Ortiz,0.01094499
Morgan,0.01077535
Cooper,0.01061073
Peterson,0.01045090
Bailey,0.01029566
Reed,0.01014482
Kelly,0.00999821
Howard,0.00985563
Ramos,0.00971694
Kim,0.00958197
Cox,0.00945059
Ward,0.00932264
Richardson,0.00919801
Watson,0.00907655
Brooks,0.00895817
Chavez,0.00884273
Wood,0.00873014
James,0.00862029
Bennett,0.00851308
Gray,0.00840842
Mendoza,0.00830622
Ruiz,0.00820640
Hughes,0.00810887
Price,0.00801356
Alvarez,0.00792040
Castillo,0.00782931
Sanders,0.00774022
Patel,0.00765307
Myers,0.00756780
Long,0.00748435
Ross,0.00740267
Foster,0.00732268
Jimenez,0.00724436
Powell,0.00716764
Jenkins,0.00709248
Perry,0.00701882
Russell,0.00694663
Sullivan,0.00687587
Bell,0.00680648
Coleman,0.00673844
Butler,0.00667170
Henderson,0.00660623
Barnes,0.00654199
Gonzales,0.00647895
Fisher,0.00641707
Vasquez,0.00635632
Simmons,0.00629668
Romero,0.00623811
Jordan,0.00618059
Patterson,0.00612408
Alexander,0.00606857
Hamilton,0.00601402
Graham,0.00596041
Reynolds,0.00590772
Griffin,0.00585592
Wallace,0.00580499
Moreno,0.00575491
West,0.00570567
Cole,0.00565723
Hayes,0.00560958
Bryant,0.00556270
Herrera,0.00551657
Gibson,0.00547118
Ellis,0.00542650
Tran,0.00538252
Medina,0.00533923
Aguilar,0.00529661
Stevens,0.00525464
Murray,0.00521331
Ford,0.00517260
Castro,0.00513250
Marshall,0.00509301
Owens,0.00505409
Harrison,0.00501575
Fernandez,0.00497796
Mcdonald,0.00494072
Woods,0.00490402
Washington,0.00486784
Kennedy,0.00483217
Wells,0.00479701
Vargas,0.00476234
Henry,0.00472814
Chen,0.00469442
Freeman,0.00466117
Webb,0.00462836
Tucker,0.00459600
Guzman,0.00456408
Burns,0.00453258
Crawford,0.00450149
Olson,0.00447082
Simpson,0.00444055
Porter,0.00441068
Hunter,0.00438119
Gordon,0.00435207
Mendez,0.00432334
Silva,0.00429496
Shaw,0.00426695
Snyder,0.00423928
Mason,0.00421196
Dixon,0.00418498
Munoz,0.00415833
Hunt,0.00413201
Hicks,0.00410601
Holmes,0.00408032
Palmer,0.00405494
Wagner,0.00402987
Black,0.00400509
Robertson,0.00398061
Boyd,0.00395641
Rose,0.00393250
Stone,0.00390886
Salazar,0.00388550
Fox,0.00386241
Warren,0.00383958
Mills,0.00381701
Meyer,0.00379470
Rice,0.00377264
Schmidt,0.00375082
Garza,0.00372925
Daniels,0.00370791
Ferguson,0.00368681
Nichols,0.00366594
Stephens,0.00364530
Soto,0.00362489
Weaver,0.00360469
Ryan,0.00358471
Gardner,0.00356494
Payne,0.00354538
Grant,0.00352603
Dunn,0.00350688
Kelley,0.00348793
Spencer,0.00346918
Hawkins,0.00345063
Arnold,0.00343226
Pierce,0.00341408
Vazquez,0.00339609
Hansen,0.00337828
Peters,0.00336065
Santos,0.00334320
Hart,0.00332592
Bradley,0.00330881
Knight,0.00329188
Elliott,0.00327511
Cunningham,0.00325850
Duncan,0.00324206
Armstrong,0.00322577
Hudson,0.00320965
Carroll,0.00319368
Lane,0.00317786
Riley,0.00316219
Andrews,0.00314667
Alvarado,0.00313130
Ray,0.00311607
Delgado,0.00310099
Berry,0.00308605
Perkins,0.00307124
Hoffman,0.00305657
Johnston,0.00304204
Matthews,0.00302764
Pena,0.00301337
Richards,0.00299923
Contreras,0.00298522
Willis,0.00297133
Carpenter,0.00295757
Lawrence,0.00294393
Sandoval,0.00293042
Guerrero,0.00291702
George,0.00290374
Chapman,0.00289057
Rios,0.00287753
Estrada,0.00286459
Ortega,0.00285177
Watkins,0.00283906
Greene,0.00282645
Nunez,0.00281396
Wheeler,0.00280157
Valdez,0.00278928
Harper,0.00277710
Burke,0.00276503
Larson,0.00275305
Santiago,0.00274117
Maldonado,0.00272940
Morrison,0.00271772
Franklin,0.00270613
Carlson,0.00269464
Austin,0.00268325
Dominguez,0.00267195
Carr,0.00266074
Lawson,0.00264962
Jacobs,0.00263859
Obrien,0.00262765
Lynch,0.00261679
Singh,0.00260602
Vega,0.00259534
Bishop,0.00258474
Montgomery,0.00257423
Oliver,0.00256380
Jensen,0.00255345
Harvey,0.00254318
Williamson,0.00253299
Gilbert,0.00252288
Dean,0.00251284
Sims,0.00250288
Espinoza,0.00249300
Howell,0.00248320
Li,0.00247347
Wong,0.00246381
Reid,0.00245422
Hanson,0.00244471
Le,0.00243527
Mccoy,0.00242590
Garrett,0.00241659
Burton,0.00240736
Fuller,0.00239819
Wang,0.00238910
Weber,0.00238006
Welch,0.00237110
Rojas,0.00236220
Lucas,0.00235336
Marquez,0.00234459
Fields,0.00233588
Park,0.00232723
Yang,0.00231864
Little,0.00231012
Banks,0.00230166
Padilla,0.00229325
Day,0.00228491
Walsh,0.00227662
Bowman,0.00226839
Schultz,0.00226022
Luna,0.00225210
Fowler,0.00224405
Mejia,0.00223604
Davidson,0.00222810
Brewer,0.00222020
May,0.00221236
Holland,0.00220458
Juarez,0.00219684
Newman,0.00218916
Pearson,0.00218153
Curtis,0.00217396
Cortez,0.00216643
Douglas,0.00215895
Schneider,0.00215152
Joseph,0.00214415
Barrett,0.00213682
Navarro,0.00212954
Figueroa,0.00212230
Keller,0.00211512
Avila,0.00210798
Wade,0.00210089
Molina,0.00209384
Stanley,0.00208684
Hopkins,0.00207989
Campos,0.00207298
Barnett,0.00206611
Bates,0.00205929
Chambers,0.00205251
Caldwell,0.00204577
Beck,0.00203908
